Mean of the integrated profile,Standard deviation of the integrated profile,Excess kurtosis of the integrated profile,Skewness of the integrated profile,Mean of the DM-SNR curve,Standard deviation of the DM-SNR curve,Excess kurtosis of the DM-SNR curve,Skewness of the DM-SNR curve,"Class label (0 = negative, 1 = positive)"
133.1640625,52.98198063,-0.132383847,-0.49394484,27.84448161,66.77087985,2.141015131,2.898545592,0
97.5625,35.16029143,0.438211171,2.142149919,2.939799331,19.07838227,8.49720378,81.17969182,0
119.03125,44.55227574,-0.06969395,0.456036796,2.118729097,17.948811,9.877426366,106.9093596,0
137.6796875,45.13537512,-0.073952731,0.371260995,9.213210702,37.35192203,4.095595297,15.81340451,0
110.6953125,42.2902099,-0.017400862,0.701464381,1.16722408,15.16780594,13.76584457,194.6408589,0
83.96875,32.78693945,0.972955394,4.940514989,1.638795987,11.93460301,12.15731657,199.3218792,0
119.78125,47.94054545,0.10417849,-0.051149046,1.89548495,16.8777806,10.0880338,110.6269233,0
101.9609375,42.81161538,0.567676385,0.967241302,1.406354515,11.69757256,13.32743044,224.9489913,0
126.9140625,51.51805317,-0.081308494,-0.035835531,12.85117057,43.92271934,3.474985058,11.07292131,0
128.3671875,65.7315648,0.172012301,-0.986426319,6.796822742,34.0742062,5.130599015,25.61867365,0
112.25,49.3373274,0.143187275,-0.068390262,3.693979933,20.17714187,7.222250439,60.78298507,0
121.0078125,36.52663756,0.147047411,1.17405872,2.890468227,19.47476395,8.198444031,76.72879938,0
110.9453125,41.32404502,0.23639709,0.678846562,1.498327759,13.39192453,11.79737373,165.3707021,0
118.5703125,46.54663045,0.030306021,-0.058225497,4.846153846,25.8156199,6.290889126,42.01990703,0
67.6640625,32.56178678,2.027999741,8.098344202,8.266722408,34.83890201,4.793381771,24.03204757,1
123.640625,47.27623848,-0.178718976,0.017180457,2.199832776,18.14723414,9.817278966,106.3500082,0
104.7890625,38.67829098,0.238756232,1.24360488,1.656354515,14.31062945,11.44668289,153.0117113,0
42.578125,46.63833746,2.841558376,7.832819342,12.97157191,38.49884932,3.799727502,14.99083404,1
100.6484375,34.79057654,0.613326184,2.178786108,3.492474916,25.76263096,7.730307834,60.32718532,0
120.421875,47.22893204,0.203304304,0.186340061,1.608695652,14.96307801,12.23257712,168.9009654,0
69.2109375,45.26616637,2.024290832,4.485091033,2.546822742,18.20122515,9.997592919,109.1223064,1
132.296875,42.92259737,0.051047905,0.653614389,1.93812709,13.05543306,10.76677732,154.3763954,0
11.9765625,29.57761634,7.550921894,56.53774698,128.0200669,73.431466,-0.124471665,-0.899232451,1
136.2734375,47.59607305,-0.273207318,0.099544678,2.664715719,17.71986941,8.500179149,81.7503001,0
121.7734375,53.42813731,0.198331293,-0.310435103,6.926421405,30.52877809,5.103384105,27.58597695,0
114.78125,45.58644561,0.463395921,0.40390872,1.58361204,15.42645295,11.74395471,152.4068557,0
11.21875,30.97351124,5.992364991,37.86874123,97.44565217,76.52752946,0.191543281,-1.020215434,1
147.3515625,56.18379296,-0.505579096,-0.375884674,28.22491639,56.72964767,1.740970967,1.549961487,0
149.6640625,48.93542897,-0.288795702,0.025900189,2.469899666,13.87756775,9.610458689,128.9612193,0
133.3125,49.66446007,0.294180978,-0.02667099,0.743311037,10.06501426,18.61667541,403.6358734,0
114.8359375,51.92614607,-0.009627119,-0.528805933,1.227424749,12.03124904,14.08730859,234.4736858,0
145.234375,46.35840073,-0.05023288,-0.128192703,2.809364548,15.5567398,8.099294824,86.52401046,0
133.046875,61.80448752,-0.112912856,-0.69782282,1.918896321,12.42129513,10.87754787,167.4988391,0
115.359375,51.9717072,0.194953018,-0.616708495,2.084448161,14.96055211,10.72927714,140.2192894,0
126.109375,47.81674562,0.072050192,-0.038066896,1.392140468,12.22507313,12.17570259,189.9208994,0
87.0859375,39.17948031,0.676410762,1.846017995,2.677257525,18.32139267,8.939713643,91.94974803,0
12.203125,31.2170725,5.926254772,36.8500351,98.86789298,77.91638134,0.156919399,-1.081045933,1
122.671875,47.82211658,0.255133387,0.267226667,1.877090301,12.6754883,10.96298019,164.0693539,0
115.7734375,45.29714651,0.176119189,0.067584397,0.885451505,12.08869489,15.01861331,246.2626413,0
107.9921875,44.00257381,0.392192856,0.232940905,2.602842809,18.8340391,8.416150846,78.00040274,0
116.828125,50.66836251,0.077752939,-0.418057563,1.059364548,9.86602499,17.42864586,390.2915806,0
133.2734375,52.69690972,0.152191871,-0.299685533,3.464046823,18.28242421,7.31819003,66.41779302,0
128.78125,45.69958587,0.002629994,-0.151137971,2.930602007,21.89495368,8.558067147,78.1709308,0
104.0234375,47.42320517,0.472582508,0.154629769,3.62541806,20.26492982,6.802878615,52.76562102,0
27.5234375,30.95610926,4.677046419,25.86510517,32.05183946,59.16230147,2.024630589,3.334317226,1
106.5625,50.99061648,0.417306755,-0.08887609,3.994147157,24.13962588,6.676586473,46.82577282,0
95.265625,45.7703992,0.524977018,0.841960227,2.593645485,19.59784883,8.765387759,82.61026504,0
94.546875,44.63005213,0.727884362,0.87834695,2.556020067,15.23053741,8.426591091,92.70769844,0
135.4921875,49.20540432,0.012928394,-0.374392826,15.71571906,46.69549605,3.269131003,10.04537237,0
121.2421875,57.79405058,0.032666041,-0.687973589,0.572742475,10.10085725,20.57596871,450.0208616,0
129.03125,52.02492454,0.087634029,-0.31064508,5.816053512,24.28164473,4.683142357,24.24292173,0
135.6328125,48.35462605,-0.176937896,0.346115155,1.223244147,15.81042039,13.52070256,186.0030405,0
144.8359375,54.29862126,-0.067812732,-0.415673563,1.445652174,13.33293341,12.41308916,180.9430852,0
125,45.84348372,0.166110134,0.267231587,1.014214047,10.05955337,16.62907679,360.5534179,0
136.6484375,53.5799038,-0.206697174,-0.104561844,2.760033445,16.23999897,8.844939371,97.94661519,0
99.6796875,51.39308283,0.510868943,-0.402029118,5.703177258,23.60997939,5.285568185,32.43965916,0
97.90625,40.60969664,0.391609855,1.50591983,1.006688963,12.34468548,14.4627527,233.6748525,0
124.328125,49.50459407,0.188985927,-0.269444078,2.894648829,18.79476208,8.136349548,76.41768059,0
114.4296875,47.65528624,0.057105654,0.101757662,7.194816054,32.37380449,4.67602357,21.70492618,0
81.6796875,54.5455563,0.797273443,0.169372007,61.17140468,82.58646964,1.053596065,-0.270882096,0
122.96875,46.94643515,-0.044211733,-0.029383355,2.571906355,16.45020906,8.91514188,94.78259696,0
126.375,50.80646489,-0.24924472,-0.344827693,2.66638796,16.34949318,9.319462595,106.2306781,0
125.4375,61.05987712,0.250845506,-1.077391056,12.51672241,44.76171271,3.609944226,11.92816347,0
95.6328125,37.31158313,0.59657018,2.196855376,2.22826087,16.90561752,9.670972657,105.4808905,0
147.171875,44.04314457,-0.096229723,0.216209177,3.554347826,19.89078599,6.730665038,52.39151505,0
118.3359375,47.69291046,0.147801813,0.16166494,1.489130435,15.16571943,11.50179962,143.0321101,0
109.6015625,44.22480565,0.452705104,0.577109029,1.52090301,10.87418461,13.68451576,264.8545228,0
136.828125,67.33650447,-0.257777961,-1.276375441,0.962374582,8.426909183,23.74263815,691.1961738,0
101.28125,31.87155312,0.68134648,3.273810705,3,18.81439888,8.042458616,73.44367685,0
134.34375,44.25819795,-0.245171097,0.405991733,3.900501672,19.8374911,6.72883876,54.54739683,0
113.9453125,46.24751828,0.335409488,0.378204006,5.216555184,23.28385463,5.319012601,31.61742693,0
111.4296875,47.51063756,0.015786216,0.486482087,2.174749164,15.28312723,9.853822786,115.24836,0
109.0390625,50.97784481,0.460842213,0.270503506,1.885451505,14.2493709,11.38114328,158.6293052,0
108.1875,42.14293943,0.239500748,0.613969242,2.561036789,15.52962818,9.210738428,109.5811457,0
131.65625,51.24701782,-0.105251488,-0.144740484,1.849498328,12.51497129,11.150694,169.7521542,0
125.71875,42.70043499,0.341525388,0.462395887,8.835284281,35.3989748,4.358278956,18.89845079,0
129.6015625,47.70454968,-0.113748467,0.019785004,2.065217391,16.80407741,9.894397637,111.8511036,0
110.296875,49.1830699,0.55600188,0.410597111,2.393812709,13.97380236,9.252200621,116.7518692,0
116.9609375,47.33481184,0.088199368,-0.049518892,3.570234114,20.31209461,6.922641673,54.69723796,0
105.0859375,51.60078538,0.249607081,-0.107351037,2.117892977,14.78158647,9.996370449,123.3931477,0
119.5703125,52.52345958,0.44397216,-0.215425432,0.860367893,10.80883145,16.73635077,327.0618015,0
131.1171875,55.65583711,-0.12449818,-0.533686621,1.102842809,10.56514867,15.44822208,308.5780288,0
112.6796875,48.2354145,0.422159311,0.326895271,0.838628763,11.77094147,17.14504886,318.4961582,0
129.953125,46.11023805,0.058844114,-0.050617247,2.094481605,14.75061145,8.902093381,101.0937897,0
106.7109375,42.93329716,0.263947281,0.966622921,1.488294314,14.90900034,11.84148231,155.1042286,0
119.1484375,46.03193352,0.366490573,0.482226662,2.821070234,15.57245738,8.906653717,105.6077723,0
124.546875,48.7866624,-0.17284059,-0.312989618,2.088628763,14.55075896,9.8126967,118.3388546,0
134.3046875,48.43738848,-0.097628063,-0.260360596,3.964882943,19.39827521,7.019239415,61.81108199,0
74.9765625,38.17547168,0.846327898,2.613272979,1.295986622,13.86561219,12.73800734,180.8712481,0
126.0390625,55.62449471,0.272470026,-0.567775786,3.638795987,19.26031756,6.843022688,55.29454947,0
93.609375,39.70658682,1.030164248,2.659003465,1.839464883,14.80150656,11.29258252,151.9269175,0
118.2109375,45.62031694,0.206816886,0.154104987,2.642976589,16.10590346,8.395206022,86.23014061,0
123.2734375,48.76453547,-0.139482238,0.051884046,1.753344482,12.93662959,11.33405876,165.7113163,0
106.3046875,51.39241776,0.385041256,-0.093450881,4.115384615,22.46439168,6.843944011,53.6419805,0
160.8671875,61.81618051,-1.060827434,0.128833174,11.76923077,45.04464812,4.012029948,15.03428241,0
119.8515625,47.74036059,0.525983818,0.305539561,2.955685619,18.05585563,8.356073785,83.40296711,0
129.0234375,48.4446309,-0.057488198,0.176429294,1.641304348,17.21002274,11.17084534,129.3913485,0
124.3203125,50.8828209,-0.150148599,-0.033531057,2.110367893,17.25297297,9.425758424,98.38532421,0
135.4375,55.77434306,-0.00405883,-0.338509031,2.786789298,20.84335251,8.573934199,78.80591805,0
127.3203125,47.78482591,-0.210849934,-0.151054308,9.519230769,38.42110186,4.08824163,15.72331737,0
92.46875,37.78949455,0.647792775,2.055608449,0.864548495,11.98340745,15.35544717,256.4241567,1
131.5546875,46.37311462,0.134623081,-0.050321215,3.422240803,21.52119917,7.654211839,64.7484701,0
104.2734375,45.08788551,0.242374645,0.583530523,3.41722408,18.61080002,7.916057485,75.48679081,0
113.3984375,40.14939676,0.322762683,0.532786428,2.985785953,16.62232347,8.176915817,83.88739372,0
117.203125,52.98472058,0.133527767,-0.286991578,8.004180602,33.58241222,4.518682331,20.30995429,0
101.765625,54.20973223,0.459661344,-0.092711425,4.383779264,21.87301535,6.264154176,45.93816852,0
119.3984375,46.39089011,0.31709795,-0.294427684,3.127090301,21.25015605,7.902178599,65.82672938,0
110.21875,45.67205408,0.53411849,0.402540677,2.134615385,17.06375334,9.870973132,108.6518136,0
64.75,37.355346,2.700921964,9.75913666,33.52006689,63.08915308,1.852955233,2.402569575,1
126.828125,45.28108555,-0.097235636,0.004767814,2.321906355,14.33746017,9.498072276,117.8823525,0
143.0234375,54.12030361,-0.189525873,-0.523692053,8.850334448,36.72245413,4.181831108,16.55089439,0
125.7578125,44.06294257,0.199765663,0.151251751,3.972408027,18.78713913,6.181347388,47.88707298,0
109.875,46.74665763,0.157274165,-0.027049271,1.846153846,14.7522373,11.34845777,150.1584635,0
104.171875,42.57256844,0.444380821,1.250158008,3.418896321,21.03606421,7.396831389,60.68193763,1
111.8515625,48.06881295,0.019998125,-0.071052486,0.836120401,10.32967766,17.87151567,377.385243,0
127.5859375,46.18873093,0.034216034,-0.221619632,2.611204013,19.81288325,8.920285204,86.84669138,1
83.1484375,38.29451859,1.522564529,4.05683926,6.010033445,30.57768602,5.726569838,34.05263772,1
126.6640625,47.12056964,0.0490332,-0.057811734,3.79180602,22.22504161,7.513792186,63.36080527,0
125.7421875,45.21377108,0.080797047,0.468334236,1.402173913,15.21796911,12.34056065,161.7996819,0
123.671875,56.23862515,0.061304988,-0.575957603,6.330267559,31.78268791,5.25638164,27.36100401,0
124.6328125,54.18931962,0.001898719,-0.513267432,5.178093645,28.74872494,6.123285839,38.6617249,0
87.703125,46.23063097,1.302489632,2.084023559,20.15133779,53.70627729,2.744228196,6.484419395,1
19.8359375,28.73689303,6.0567723,40.80816128,60.21655518,75.93126905,1.1380628,0.132015156,1
152.796875,45.35560181,-0.2825618,0.212796125,2.156354515,14.17985764,9.795381415,122.0231899,0
119.9296875,52.3530956,0.129102533,-0.324250702,0.684782609,9.053176379,21.01681985,537.6487932,0
122.2578125,49.00035811,-0.024932442,-0.267607142,4.617056856,26.83756122,6.128133657,38.17247469,0
95.9140625,38.90794973,0.487542656,1.278809355,0.990802676,9.543024332,18.22715229,433.7960636,0
107.5546875,75.13943378,0.52671536,-1.286903712,87.08862876,91.04935725,0.467832541,-1.357948707,0
62.1640625,45.52056152,2.438793131,6.897894438,16.84615385,49.43283417,3.102149052,8.877464039,1
44.6015625,43.87595082,2.966424127,9.248106506,61.50167224,79.46991499,0.907306286,-0.606399475,1
107.9453125,48.26397281,0.463263693,0.182940879,2.918060201,18.95148642,7.394589309,61.5471598,0
102.03125,36.57781463,0.561365225,1.881021871,2.409698997,14.55399494,9.708836093,120.3259472,0
97.15625,32.61408761,0.577757333,3.535510391,2.989966555,18.75336937,8.088758562,76.4762133,0
119.1015625,52.88546584,0.320426414,-0.15850433,2.919732441,21.75252829,8.534961743,78.29415704,0
145.265625,55.96587749,-0.399576605,-0.435533217,1.715719064,15.89328292,10.83988177,127.0336948,0
119.734375,45.43943159,0.163755179,-0.241664423,1.860367893,11.28831941,12.4801373,228.5659136,0
124.53125,47.09414399,0.060258648,0.105936777,12.51839465,45.5563398,3.601194972,11.69361995,0
117.265625,46.04065533,0.034169187,0.060649718,2.988294314,17.28305171,8.459400982,86.02181515,0
110.15625,47.5405152,0.41475566,0.097175282,3.175585284,21.76902787,7.982690889,68.99457886,0
113.421875,36.94053697,0.397016721,1.960271297,4.212374582,21.52885706,6.076728714,42.27642615,0
99.4609375,42.12813459,0.384026321,0.423775245,5.43812709,30.67324858,5.727732852,31.98989754,0
113.3046875,46.78133285,-0.079026207,0.269834853,2.007525084,14.10302905,11.00267747,152.9114741,0
120.6015625,53.36641322,0.141481073,0.252220876,2.683110368,18.14100519,8.10798232,75.12943089,0
110.2890625,44.52144012,-0.033370385,0.414296209,0.821070234,11.81411593,16.25026379,285.1100187,0
126.3125,54.13622141,-0.08859248,-0.439776079,2.27006689,14.59141889,9.632345382,118.3083867,0
113.4765625,54.52149302,0.230584591,-0.375826489,1.173913043,12.02393885,13.52349996,220.0542493,0
125.734375,53.22673852,-0.050429856,-0.146605485,6.153010033,30.23623542,5.457947633,31.06072108,0
114.65625,52.31984529,0.059077616,-0.50533343,2.165551839,14.82899235,10.14176368,127.3810739,0
147.6953125,49.50150859,-0.416040835,-0.064864699,2.607023411,17.04468113,8.250555817,80.59320597,0
109.9453125,55.21779443,0.192779464,-0.447172661,8.341973244,37.53842104,4.907121055,23.8114019,0
103.8828125,45.61414616,0.467865185,0.52613833,4.93812709,26.55670751,6.14652725,39.82644867,0
64.546875,36.35842822,1.723098235,6.096537099,28.9632107,65.77313791,2.170907045,3.267392909,1
123.796875,45.38349772,-0.033964026,-0.067418106,1.298494983,10.1752387,15.41207357,334.5525285,0
144.2578125,40.24422437,-0.153914426,0.936699235,1.472408027,15.62580003,12.09902763,158.382475,0
142.1875,50.65519933,-0.123019295,-0.052523223,6.015050167,24.85855857,5.316192079,33.50302801,0
142.890625,47.77015844,-0.129170844,0.17571287,29.88879599,65.15238255,1.894576016,1.952968334,0
88.7109375,39.20960348,0.442559516,1.47792477,4.444816054,25.30894983,6.633057813,47.29675305,0
135.7109375,48.06687274,0.003209645,-0.354052285,2.451505017,19.81360018,8.66258021,78.42999134,0
10.078125,38.35251975,5.20018925,26.46538334,122.1613712,65.31915379,0.144130842,-1.049979848,1
128.109375,47.32289918,0.094367878,-0.238707758,2.653846154,14.21627889,8.750891831,108.1825749,0
110.9921875,56.74869163,0.529349357,-0.628164665,160.493311,96.80331638,-0.971316195,-0.94151086,0
132.34375,50.42064271,-0.138260992,-0.217557628,5.273411371,30.20752628,5.789632521,32.79810817,0
11.6328125,30.55166503,6.255561501,40.839036,55.10284281,69.24592855,1.000682016,0.007548225,1
8.375,33.25187965,6.143548189,38.72489612,113.8687291,66.35820746,0.254297556,-1.026766473,1
115.2421875,44.0560272,0.019827982,-0.130603305,8.932274247,34.03949008,4.336819172,19.57120828,0
112.6015625,48.45073849,0.291262968,0.168201026,2.193979933,14.4120849,9.455081029,114.3475281,0
104.6484375,47.00441965,0.457329343,0.399993467,12.06187291,43.64041863,3.581886841,11.59104222,0
98,38.91497141,0.454331124,1.480506319,4.463210702,23.00954763,6.723048645,51.89575296,0
105.9609375,46.62205124,0.572619014,0.68960152,1.865384615,13.30618733,11.00897548,153.1514445,0
101.875,48.07611153,0.36851815,-0.016256291,1.544314381,13.57786449,12.99039445,200.4580137,0
119.84375,49.10136796,0.242458246,-0.214437804,3.584448161,20.89571316,7.784958137,70.77468167,0
83.6640625,37.10464032,0.976869343,3.291219194,1.390468227,12.74120627,12.07953726,177.9331595,0
78.8671875,36.85748972,1.02852671,4.438575083,6.534280936,33.06469278,5.246505462,27.10893309,1
124.609375,47.6901186,0.084447435,-0.060895894,2.031772575,13.22163755,10.72782116,151.0377242,0
147.1015625,50.32470191,-0.797783316,0.147755616,107.4673913,110.6422106,0.072755232,-1.976975603,0
118.1875,53.36061721,-0.020473914,-0.386134078,11.18311037,38.65663203,3.568677592,11.83017187,0
142,50.09381823,-0.086081778,-0.349410301,3.109531773,19.809474,8.756903532,89.55615475,0
124.640625,50.17060494,0.328036668,-0.016932024,0.867892977,9.349634116,19.69644898,480.2722403,0
119.53125,45.94237857,0.021220137,0.155819998,2.400501672,14.01257079,9.076239501,114.0253034,0
95.296875,45.59628538,0.529993376,0.283853331,2.468227425,15.84598196,9.506255399,113.4927023,0
143.1328125,46.53230919,-0.033179037,-0.132086624,10.5083612,37.07301974,3.718408659,13.34635381,0
84.984375,34.51878664,0.679989996,3.748876016,1.905518395,14.37552743,10.43140454,133.4506676,0
96.421875,49.97336937,0.606582936,0.512385379,0.962374582,10.89357558,15.44072393,291.8318379,0
103.8828125,41.5099049,0.402019609,0.852532689,6.220735786,30.81636903,5.512291274,31.07168943,0
16.5234375,32.93102755,5.621086451,32.82642694,94.19481605,71.69499224,0.55342957,-0.41287012,1
72.7421875,34.7300406,2.048370952,8.714217534,4.142140468,25.96337522,6.859046095,48.94787763,1
114.3828125,45.07842491,0.223421607,0.406193578,2.756688963,18.18623916,8.168562202,76.67899459,0
113.4140625,44.19373671,0.096413866,0.313065843,1.640468227,11.9526449,13.08549626,224.1082313,0
29.703125,29.21214414,6.119241605,41.79063912,75.10785953,73.68750731,0.816274144,-0.277134963,1
40.3984375,33.74845826,3.933902554,19.29466964,96.34949833,76.57678022,0.558778802,-0.717263639,1
77.484375,35.21318653,1.003181362,3.785564092,5.260869565,26.27976269,5.466358513,30.95366789,0
120.390625,50.2539231,0.022643996,-0.016691234,3.196488294,21.68617042,7.974893737,68.84760067,0
127.609375,53.5093792,-0.044194196,-0.564329964,0.527591973,8.985406668,22.33270696,571.1691565,0
129.28125,48.47050287,0.495176145,0.220304956,5.409698997,28.78186394,6.132046831,39.03238311,0
142.890625,49.97565569,-0.239889104,-0.166185901,2.076086957,17.01656865,9.866068877,108.012443,0
45.546875,30.90303873,3.645495803,19.49924626,72.24247492,88.65452697,0.655229345,-1.221447443,1
133.390625,50.45422343,-0.083811411,-0.281952364,2.563545151,16.65005174,9.19569999,100.9600465,0
106.953125,43.42663702,0.370589766,0.85011851,3.077759197,21.08498825,7.745126623,65.08062996,0
117.9453125,46.86738415,0.372709998,-0.054145327,1.654682274,11.61241349,12.11370899,208.8898059,0
116.03125,56.69117787,0.092955156,-0.493398458,4.192307692,25.3029763,6.420555319,42.16702726,0
110.828125,37.52813723,0.172955645,1.19216523,3.108695652,22.21775537,7.825859302,63.78263897,0
134.9453125,46.82936255,-0.111573701,0.238256242,2.783444816,15.10329296,8.80685393,103.7039606,0
123.84375,46.7569242,0.249755627,0.272646661,8.924749164,37.19719695,4.350091529,18.58763351,0
113.03125,44.40649191,0.449007368,0.491882855,3.434782609,17.41913743,7.372283346,70.18123802,0
134.859375,53.16964806,-0.271088147,-0.333980578,3.053511706,19.82251041,8.05828486,73.95888734,0
77.8671875,57.32205769,1.625574558,1.783832555,108.2583612,92.76053054,-0.07153223,-1.630271779,1
97.984375,47.46034272,0.296463523,0.263468423,27.48327759,60.96164062,2.008609763,2.612302689,0
137.359375,44.06187666,-0.072305897,0.445060018,1.759197324,14.46494577,11.76813703,159.8719505,0
113.0078125,42.37435399,0.334546839,0.531843918,1.286789298,12.50286359,15.05031728,269.9618494,0
100.9921875,51.94956931,0.477132436,0.189935593,3.492474916,20.94412323,7.4455145,61.47009275,0
105.5390625,47.58411998,0.416696908,0.233840836,1.755016722,12.75663707,11.16654938,164.8840201,0
148.5703125,47.60673593,-0.114136609,-0.030304967,4.475752508,24.34541527,6.474049238,45.15960321,0
114.8125,54.61294919,0.074636698,-0.273676582,6.343645485,27.52547865,4.640380587,22.58271858,0
24.7265625,30.09846208,5.660516554,35.16935086,33.05016722,65.62385842,2.076823061,3.221195515,1
151.8046875,45.2348142,-0.442277239,0.391658312,7.223244147,30.6820107,5.32816579,30.77988119,0
115.25,49.48121487,0.241193303,0.204823616,3.293478261,20.93044679,8.023297996,73.8661672,0
119.421875,56.80113464,0.131503347,-0.478205347,2.752508361,22.53975942,8.827642193,79.91331899,0
125.9140625,53.81958103,0.041155626,-0.253957899,1.609531773,16.17986928,10.84377996,124.3645835,0
112.1015625,45.03329321,0.601220727,0.556339778,2.369565217,15.49664577,9.858238917,116.9796643,0
84.7890625,41.61536156,0.789514555,2.008338537,2.336120401,18.37751825,9.87801165,108.4582548,0
101.8671875,40.91977118,0.326129017,1.159903851,5.030936455,23.90903636,6.099516436,41.76600888,0
88.4375,35.30420257,0.587264944,2.547754085,2.371237458,13.83004734,9.13150326,116.9551338,0
112.6953125,47.29141019,0.336422134,0.09841916,0.948160535,9.77911509,17.82195907,404.6544822,0
117.984375,47.75997677,0.127064776,-0.381852612,2.610367893,14.16796139,8.732189124,108.0942551,0
127.6640625,48.41233658,0.026623892,0.049816577,43.52842809,72.25798051,1.254912222,-0.069708186,0
117.46875,53.2381057,0.627118746,0.110231026,136.8143813,63.44684653,-0.776277724,-0.411980858,0
103.2109375,36.78944574,0.294395209,1.574455026,3.051839465,15.09254578,7.571114591,82.9938048,0
107.578125,45.01121551,0.321174848,1.035746678,1.002508361,11.79730542,14.38934822,240.3261001,0
119.7421875,46.72613798,0.325001558,0.270379739,3.113712375,21.83880853,7.776603142,64.28488399,0
86.4921875,38.88183141,0.569128537,1.70657396,1.471571906,11.21431663,13.46829733,247.0261125,0
117.53125,51.19752458,0.114568523,-0.331143217,9.095317726,39.11176351,4.278690863,17.13419505,0
115.7578125,47.62167739,0.395686524,-0.059239749,12.11705686,41.52963253,3.424181635,10.66807749,0
121.7734375,51.00600682,-0.039072969,-0.328987613,3.725752508,22.24243223,6.952392323,53.06158875,0
116.9453125,54.5766818,0.265300704,-0.57501647,1.856187291,12.43838541,11.63262907,181.4330704,0
148.8515625,50.85243508,-0.296626839,-0.053738303,4.85367893,28.30110723,6.16164461,38.63455224,0
122.9921875,44.98966827,0.144861004,-0.002513486,8.673076923,35.37490529,4.206102881,17.05039431,0
116.0703125,44.30296682,0.062852049,0.236188933,4.89632107,24.47487183,5.959948212,40.31092576,0
88.578125,33.21017572,1.026266294,3.826620877,3.150501672,22.42812581,7.837144637,65.10810642,0
122.5234375,44.55561217,0.029771377,0.176732522,3.913043478,21.50485977,7.076617031,58.16480822,0
109.4453125,45.58436694,0.258934957,0.324588769,1.595317726,11.59828344,12.502274,215.8325409,0
117.015625,53.73008125,0.13781603,-0.23019347,2.306020067,15.34034172,9.618983052,111.6891906,0
115.71875,45.69667957,0.306834234,0.370789606,1.62541806,15.45357129,11.30577785,141.2955454,0
106.125,44.82605269,0.315306231,0.408819258,2.505016722,16.15929715,9.512310595,111.3568643,0
94.0078125,49.40971819,0.345304627,0.13424709,4.138795987,23.64620356,6.638436617,47.31211758,0
105.9453125,47.58714187,0.352501941,-0.015239727,2.591973244,17.96887133,8.549350104,84.52700935,0
92.0078125,42.19013808,0.692695966,0.978137969,1.326086957,15.26326459,12.46615775,163.9722691,0
114.28125,48.98787119,-0.007398411,-0.248115208,5.546822742,31.38796472,5.820810116,33.50675057,0
13.0234375,30.32260523,7.400253989,54.56866378,112.9916388,69.89693749,0.244507229,-0.657516962,1
124.6328125,52.36036059,0.050397182,-0.357757414,0.718227425,8.982147038,21.26401138,552.7614784,0
100.6640625,39.26816406,0.483737151,1.408944108,1.025083612,11.05486649,14.83772109,274.1024108,0
116.6015625,50.53098366,0.293292064,-0.220492708,2.325250836,16.82311272,8.660080906,85.09354144,0
115.390625,44.40073802,0.151058511,0.403506238,0.657190635,10.33896452,19.13157202,403.3217019,0
138.4296875,52.39732275,-0.119862634,-0.081032567,2.918896321,18.07354755,8.992252857,97.03206316,0
123.3828125,41.98085894,0.232734458,0.691077029,1.882107023,12.46454427,11.3341789,175.5319883,0
